Rating,CocoaPercentage,Company,Origine spécifique du harirot
3,75%,Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007"
3,65%,Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2007"
2.75,77%,Violet Sky,Sambirano Valley
3,77%,Violet Sky,Moho River Valley
3,77%,Violet Sky,Cuyagua
3.25,77%,Violet Sky,Peru
2.75,77%,Violet Sky,Cahabon
2.5,70%,Vivra,Peru
2.5,70%,Vivra,Ocumare
3,70%,Vivra,Dominican Republic
3.5,70%,Wellington Chocolate Factory,Conacado
3.5,70%,Wellington Chocolate Factory,"Piura Blanco, Norandino"
2.5,72%,Whittakers,Ghana
2.5,75%,Wilkie's Organic,Amazonas
2.75,89%,Wilkie's Organic,Amazonas
3.25,75%,Wilkie's Organic,Tumbes
2.75,75%,Wilkie's Organic,Amazonas w/ nibs
4,70%,Willie's Cacao,Los Llanos
3,88%,Willie's Cacao,Los Llanos
2.25,100%,Willie's Cacao,"Java, Indonesian Black"
3,71%,Willie's Cacao,Sambirano
3.5,72%,Willie's Cacao,Hacienda Las Trincheras
3.75,69%,Willie's Cacao,Java
3,70%,Willie's Cacao,San Martin
3.25,72%,Willie's Cacao,Rio Caribe
3,74%,Wm,"Guasare, Zulia Prov., 2015, batch 124"
3.5,76%,Wm,"Wild Beniano, 2016, batch 128, Heirloom"
3.75,75%,Wm,"Ghana, 2013, batch 129"
3,70%,Woodblock,"Maranon, Cajamarca"
3.25,70%,Woodblock,"Camino Verde P., Balao, Guayas"
3.5,70%,Woodblock,Gran Couva
2.5,70%,Woodblock,Ecuador
3,70%,Woodblock,Costa Rica
3.25,70%,Woodblock,Sambirano
4,70%,Woodblock,Ocumare
3.5,70%,Woodblock,La Red
3,66%,Xocolat,Hispaniola
2.75,70%,Xocolla,"Sambirano, batch 170102"
2.5,70%,Xocolla,"Hispaniola, batch 170104"
3,70%,Zak's,"Papua New Guinea, Batch 2"
3.25,70%,Zak's,"Dominican Republic, Batch D2"
3.25,70%,Zak's,"Madagascar, Batch 2"
3.25,70%,Zak's,"Peru, Batch 1"
3.5,70%,Zak's,"Belize, Batch 2"
3,60%,Zak's,"House Blend, Batch 2"
3.5,70%,Zart Pralinen,"Millot P., Ambanja"
2.75,70%,Zart Pralinen,UNOCACE
2.75,85%,Zart Pralinen,San Juan Estate
3,85%,Zart Pralinen,"Kakao Kamili, Kilombero Valley"
3.5,70%,Zart Pralinen,"Kakao Kamili, Kilombero Valley"
3.5,78%,Zart Pralinen,"San Juan Estate, Gran Couva"
3.75,78%,Zokoko,Guadalcanal
3.25,65%,Zokoko,Goddess Blend
3.5,68%,Zokoko,Alto Beni
3.5,66%,Zokoko,Tokiala
3.75,72%,Zokoko,"Tranquilidad, Baures"
2.75,80%,Zotter,Raw
3.5,72%,Zotter,"Bocas del Toro, Cocabo Co-op"
3.5,65%,Zotter,Amazonas Frucht
3,70%,Zotter,"Satipo Pangoa region, 16hr conche"
3.5,70%,Zotter,"Satipo Pangoa region, 20hr conche"
3.75,62%,Zotter,"Loma Los Pinos, Yacao region, D.R."
3,75%,Zotter,El Oro
3,75%,Zotter,Huiwani Coop
3.25,90%,Zotter,El Ceibo Coop
3.75,70%,Zotter,Santo Domingo
3.25,68%,Zotter,"Kongo, Highlands"
3.5,58%,Zotter,"Indianer, Raw"
3.75,70%,Zotter,Peru
3,65%,Zotter,Congo
3.5,65%,Zotter,Kerala State
3.25,62%,Zotter,Kerala State
3,65%,Zotter,"Brazil, Mitzi Blue"
